Record Date,Country,Currency,Country - Currency Description,Exchange Rate,,Effective Date,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number,ISO_4217
2023-12-31,Cyprus,Euro,Cyprus-Euro,0.905,1.104972376,2023-12-31,42,2024,1,2023,4,12,31,EUR
2023-12-31,Czech Republic,Koruna,Czech Republic-Koruna,21.731,0.04601721,2023-12-31,43,2024,1,2023,4,12,31,CZK
2023-12-31,Dem. Rep. of Congo,Congolese Franc,Dem. Rep. of Congo-Congolese Franc,2660,0.00037594,2023-12-31,44,2024,1,2023,4,12,31,CDF
2023-12-31,Denmark,Krone,Denmark-Krone,6.744,0.148279953,2023-12-31,45,2024,1,2023,4,12,31,DKK
2023-12-31,Djibouti,Franc,Djibouti-Franc,177,0.005649718,2023-12-31,46,2024,1,2023,4,12,31,DJF
2023-12-31,Dominican Republic,Peso,Dominican Republic-Peso,57.9,0.017271157,2023-12-31,47,2024,1,2023,4,12,31,DOP
2023-12-31,United States,Dolares,United States-Dollars,1,1,2023-12-31,48,2024,1,2023,4,12,31,USD
2023-12-31,Egypt,Pound,Egypt-Pound,30.9,0.03236246,2023-12-31,49,2024,1,2023,4,12,31,EGP
2023-12-31,Equatorial Guinea,CFA Franc,Equatorial Guinea-CFA Franc,593.41,0.001685176,2023-12-31,52,2024,1,2023,4,12,31,XAF
2023-12-31,Eritrea,Nakfa,Eritrea-Nakfa,15,0.066666667,2023-12-31,53,2024,1,2023,4,12,31,ERN
2023-12-31,Eswatini,Lilangeni,Eswatini-Lilangeni,18.427,0.054268193,2023-12-31,54,2024,1,2023,4,12,31,SZL
2023-12-31,Ethiopia,Birr,Ethiopia-Birr,55.997,0.0178581,2023-12-31,55,2024,1,2023,4,12,31,ETB
2023-12-31,Euro Zone,Euro,Euro Zone-Euro,0.905,1.104972376,2023-12-31,56,2024,1,2023,4,12,31,EUR
2023-12-31,Fiji,Dollar,Fiji-Dollar,2.165,0.461893764,2023-12-31,57,2024,1,2023,4,12,31,FJD
2023-12-31,Gabon,CFA Franc,Gabon-CFA Franc,593.41,0.001685176,2023-12-31,58,2024,1,2023,4,12,31,XAF
2023-12-31,Gambia,Dalasi,Gambia-Dalasi,64,0.015625,2023-12-31,59,2024,1,2023,4,12,31,GMD
2023-12-31,Georgia,Lari,Georgia-Lari,2.665,0.375234522,2023-12-31,60,2024,1,2023,4,12,31,GEL
2023-12-31,Ghana,Cedi,Ghana-Cedi,11.9,0.084033613,2023-12-31,61,2024,1,2023,4,12,31,GHS
2023-12-31,Grenada,E.Caribbean Dollar,Grenada-E.Caribbean Dollar,2.7,0.37037037,2023-12-31,62,2024,1,2023,4,12,31,XCD
2023-12-31,Guatemala,Quentzal,Guatemala-Quentzal,7.815,0.127959053,2023-12-31,63,2024,1,2023,4,12,31,GTQ
2023-12-31,Guinea,Franc,Guinea-Franc,8511,0.000117495,2023-12-31,65,2024,1,2023,4,12,31,GNF
2023-12-31,Guinea Bissau,CFA Franc,Guinea Bissau-CFA Franc,589,0.001697793,2023-12-31,64,2024,1,2023,4,12,31,XOF
2023-12-31,Guyana,Dollar,Guyana-Dollar,215,0.004651163,2023-12-31,66,2024,1,2023,4,12,31,GYD
2023-12-31,Haiti,Gourde,Haiti-Gourde,131.23,0.007620209,2023-12-31,67,2024,1,2023,4,12,31,HTG
2023-12-31,Honduras,Lempira,Honduras-Lempira,24.624,0.040610786,2023-12-31,68,2024,1,2023,4,12,31,HNL
2023-12-31,Hong Kong,Dollar,Hong Kong-Dollar,7.811,0.128024581,2023-12-31,69,2024,1,2023,4,12,31,HKD
2023-12-31,Hungary,Forint,Hungary-Forint,345.78,0.002892012,2023-12-31,70,2024,1,2023,4,12,31,HUF
2023-12-31,Iceland,Krona,Iceland-Krona,136.04,0.007350779,2023-12-31,71,2024,1,2023,4,12,31,ISK
2023-12-31,India,Rupee,India-Rupee,83.162,0.012024723,2023-12-31,72,2024,1,2023,4,12,31,INR
2023-12-31,Indonesia,Rupiah,Indonesia-Rupiah,15372.69,6.50504E-05,2023-12-31,73,2024,1,2023,4,12,31,IDR
2023-12-31,Iran,Rial,Iran-Rial,42000,2.38095E-05,2023-12-31,74,2024,1,2023,4,12,31,IRR
2023-12-31,Iraq,Dinar,Iraq-Dinar,1308,0.000764526,2023-12-31,75,2024,1,2023,4,12,31,IQD
2023-12-31,Israel,Shekel,Israel-Shekel,3.619,0.276319425,2023-12-31,76,2024,1,2023,4,12,31,ILS
2023-12-31,Jamaica,Dollar,Jamaica-Dollar,154,0.006493506,2023-12-31,77,2024,1,2023,4,12,31,JMD
2023-12-31,Japan,Yen,Japan-Yen,141.47,0.007068636,2023-12-31,78,2024,1,2023,4,12,31,JPY
2023-12-31,Jordan,Dinar,Jordan-Dinar,0.708,1.412429379,2023-12-31,79,2024,1,2023,4,12,31,JOD
2023-12-31,Kazakhstan,Tenge,Kazakhstan-Tenge,456.29,0.002191589,2023-12-31,80,2024,1,2023,4,12,31,KZT
2023-12-31,Kenya,Shilling,Kenya-Shilling,156.5,0.006389776,2023-12-31,81,2024,1,2023,4,12,31,KES
2023-12-31,Korea,Won,Korea-Won,1299.22,0.000769693,2023-12-31,83,2024,1,2023,4,12,31,KRW
2023-12-31,Kuwait,Dinar,Kuwait-Dinar,0.307,3.25732899,2023-12-31,84,2024,1,2023,4,12,31,KWD
2023-12-31,Kyrgyzstan,Som,Kyrgyzstan-Som,89.062,0.011228133,2023-12-31,85,2024,1,2023,4,12,31,KGS
2023-12-31,Laos,Kip,Laos-Kip,20476,4.88377E-05,2023-12-31,86,2024,1,2023,4,12,31,LAK
2023-12-31,Lebanon,Pound,Lebanon-Pound,15000,6.66667E-05,2023-12-31,87,2024,1,2023,4,12,31,LBP
2023-12-31,Lesotho,Maloti,Lesotho-Maloti,18.427,0.054268193,2023-12-31,88,2024,1,2023,4,12,31,LSL
2023-12-31,Liberia,Dollar,Liberia-Dollar,189,0.005291005,2023-12-31,89,2024,1,2023,4,12,31,LRD
2023-12-31,Libya,Dinar,Libya-Dinar,4.754,0.21034918,2023-12-31,90,2024,1,2023,4,12,31,LYD
2023-12-31,Madagascar,Ariary,Madagascar-Ariary,4564,0.000219106,2023-12-31,91,2024,1,2023,4,12,31,MGA
2023-12-31,Malawi,Kwacha,Malawi-Kwacha,1700,0.000588235,2023-12-31,92,2024,1,2023,4,12,31,MWK
2023-12-31,Malaysia,Ringgit,Malaysia-Ringgit,4.59,0.217864924,2023-12-31,93,2024,1,2023,4,12,31,MYR
2023-12-31,Maldives,Rufiyaa,Maldives-Rufiyaa,15.42,0.064850843,2023-12-31,94,2024,1,2023,4,12,31,MVR
2023-12-31,Mali,CFA Franc,Mali-CFA Franc,589,0.001697793,2023-12-31,95,2024,1,2023,4,12,31,XOF
2023-12-31,Mauritania,Ouguiya,Mauritania-Ouguiya,39.16,0.025536261,2023-12-31,97,2024,1,2023,4,12,31,MRU
2023-12-31,Mauritius,Rupee,Mauritius-Rupee,43.87,0.02279462,2023-12-31,98,2024,1,2023,4,12,31,MUR
2023-12-31,Mexico,Peso,Mexico-Peso,16.949,0.059000531,2023-12-31,99,2024,1,2023,4,12,31,MXN
2023-12-31,Moldova,LEU,Moldova-LEU,17.25,0.057971014,2023-12-31,101,2024,1,2023,4,12,31,MDL
2023-12-31,Mongolia,Tugrik,Mongolia-Tugrik,3410.69,0.000293196,2023-12-31,102,2024,1,2023,4,12,31,MNT
2023-12-31,Morocco,Dirham,Morocco-Dirham,9.855,0.101471334,2023-12-31,103,2024,1,2023,4,12,31,MAD
2023-12-31,Mozambique,Metical,Mozambique-Metical,63.25,0.015810277,2023-12-31,104,2024,1,2023,4,12,31,MZN
2023-12-31,Myanmar,Kyat,Myanmar-Kyat,3380,0.000295858,2023-12-31,105,2024,1,2023,4,12,31,MMK
2023-12-31,Nambia,Dollar,Nambia-Dollar,18.427,0.054268193,2023-12-31,106,2024,1,2023,4,12,31,NAD
2023-12-31,Nepal,Rupee,Nepal-Rupee,133.05,0.007515971,2023-12-31,107,2024,1,2023,4,12,31,NPR
2023-12-31,Netherlands Antilles,Guilder,Netherlands Antilles-Guilder,1.78,0.561797753,2023-12-31,108,2024,1,2023,4,12,31,ANG
